yellow_tolerance,km_total,km_per_tonne,overflow_events,overflow_site_days,mean_fill_at_pickup,max_interval_violations,truck_hours,fuel_liters,co2_kg,cost_kzt,sites_served
0.0,4819.24841771698,8.923179856268302,171.0,22.8,70.29799302918597,0.0,366.59222251421875,1686.7369462009428,4520.4550158185275,497587.39912927814,3562.0
0.25,6081.664025299072,10.99874924141825,127.0,16.933333333333334,45.15982227596754,0.0,553.1925562836726,2128.582408854675,5704.60085573053,627931.8106121292,5628.0
0.5,6209.407724853516,11.248964067725947,124.0,16.533333333333335,43.1817586738767,0.0,569.5314173806375,2173.2927036987303,5824.424445912598,641121.3475911254,5872.0
0.75,6417.735134731292,11.601625724788255,121.0,16.133333333333333,42.25227840178441,0.0,592.6560284647345,2246.2072971559523,6019.835556377952,662631.152661006,6017.0
1.0,6391.789631046295,11.559839706320563,121.0,16.133333333333333,42.08740944313028,0.0,593.0465285458498,2237.126370866203,5995.498673921425,659952.27940553,6037.0
1.5,6444.33263041687,11.649521382949732,121.0,16.133333333333333,41.86434573775526,0.0,590.6200562651289,2255.5164206459044,6044.7840073310235,665377.3440905418,6073.0
2.0,6663.679934345246,12.046231096337076,121.0,16.133333333333333,41.80759071592448,0.0,601.4444729702672,2332.2879770208356,6250.53177841584,688024.9532211465,6081.0
